Date,Open,High,Low,Close
14-Mar-14,6447.25,6518.45,6432.7,6504.2
18-Mar-14,6532.45,6574.95,6497.65,6516.6
19-Mar-14,6530,6541.2,6506,6524
20-Mar-14,6508.35,6523.65,6473.25,6483.1
21-Mar-14,6515.2,6522.9,6485.7,6493.2
22-Mar-14,6497.8,6502.65,6481.35,6494.9
24-Mar-14,6510.5,6591.5,6510.5,6583.5
25-Mar-14,6550.1,6595.55,6544.85,6589.7
26-Mar-14,6615.65,6627.45,6580.6,6601.4
27-Mar-14,6613.1,6673.95,6599.5,6641.7
28-Mar-14,6673.05,6702.6,6643.8,6695.9
31-Mar-14,6723.15,6730.05,6662.4,6704.2
01-Apr-14,6729.5,6732.25,6675.45,6721
02-Apr-14,6757.6,6763.5,6723.6,6752.5
03-Apr-14,6772.05,6776.75,6696.9,6736.1
04-Apr-14,6741.85,6741.85,6685.15,6694.3
07-Apr-14,6694.25,6725.15,6650.4,6695
09-Apr-14,6722,6808.7,6705.1,6796.2
10-Apr-14,6803.05,6819.05,6777.3,6796.4
11-Apr-14,6758.35,6789.35,6743.15,6776.3
15-Apr-14,6792.7,6813.4,6711.75,6733.1
16-Apr-14,6727.25,6748.65,6665.15,6675.3
17-Apr-14,6695.45,6783.05,6684.4,6779.4
21-Apr-14,6789.25,6825.45,6786.9,6817.6
22-Apr-14,6822.9,6838,6806.25,6815.3
23-Apr-14,6823.25,6861.6,6820.75,6840.8
25-Apr-14,6855.8,6869.85,6772.85,6782.7
28-Apr-14,6778.55,6786.25,6750.3,6761.2
29-Apr-14,6769,6779.7,6708.65,6715.2
30-Apr-14,6724.95,6780.15,6656.8,6696.4
02-May-14,6709.95,6737.65,6689.5,6694.8
05-May-14,6681.65,6741.05,6680.45,6699.3
06-May-14,6719.25,6743.45,6701.9,6715.3
07-May-14,6708.6,6718.75,6642.9,6652.5
08-May-14,6669.9,6688.4,6638.55,6659.8
09-May-14,6654.15,6871.35,6652.15,6858.8
12-May-14,6863.4,7020.05,6862.9,7014.2
13-May-14,7080,7172.35,7067.15,7108.7
14-May-14,7112,7142.25,7080.9,7108.7
15-May-14,7111.3,7152.55,7082.55,7123.1
16-May-14,7270.2,7563.5,7130.65,7203
19-May-14,7276.85,7291.1,7193.55,7263.5
20-May-14,7309.95,7353.65,7247.7,7275.5
21-May-14,7274.85,7287.15,7206.7,7252.9
22-May-14,7289.95,7319.55,7258.15,7276.4
23-May-14,7306.5,7381,7293.9,7367.1
26-May-14,7428.75,7504,7269.05,7359
27-May-14,7363.1,7372.95,7274.75,7318
28-May-14,7324.95,7344.75,7302.6,7329.6
29-May-14,7316.6,7325.4,7224.4,7235.6
30-May-14,7254.85,7272.5,7118.45,7229.9
02-Jun-14,7264.05,7368.6,7239.5,7362.5
03-Jun-14,7375.35,7424.95,7342.15,7415.8
04-Jun-14,7417.55,7433.3,7391.35,7402.2
05-Jun-14,7399.75,7484.7,7360.5,7474.1
06-Jun-14,7521.5,7592.7,7497.65,7583.4
09-Jun-14,7621.65,7673.7,7580.25,7654.6
10-Jun-14,7679.05,7683.2,7579.3,7656.4
11-Jun-14,7672.4,7700.05,7589.05,7626.8
12-Jun-14,7641.3,7658,7593.8,7649.9
13-Jun-14,7668.2,7678.5,7525.35,7542.1
16-Jun-14,7534.8,7548.6,7487.55,7533.5
17-Jun-14,7525.05,7637.6,7509.25,7631.7
18-Jun-14,7636.05,7663,7515.5,7558.2
19-Jun-14,7580.05,7606.45,7502.55,7540.7
20-Jun-14,7543.3,7560.55,7497.3,7511.4
23-Jun-14,7514,7534.8,7441.6,7493.3
